ID	Last	First	Sex	Approval	KG Number	KG street	Renter	KG phone	cell phone	e-mail	Summer Address	Summer City	Summer State	Summer zip	Summer phone	Born	Also lived in	Education	Occupation/Profession	Military Service	Hobbies/Interests	Volunteer Activities	children	Grandchildren	Great Grandchildren	KingsGate History	Other Information	UnitPhoto	PersonPhoto
R-027	Morales	Theodore	M	signed 11-28-11	13	Brookshire		320-495-5926			2902 Arlington Avenue	Little Rock	AR	72201	580-322-3490	OH			Maintenance Planning for Republic Steel	"Army, Patton's 3rd army in Europe"	"camping, golf, travel"		2	6	4	"They were staying at Royal Coachman when the saw a sign for Kings Gate. Later, they rented lot #146 and then lot #13 which they purchased the following year."	They attended all 12 grades together.  In High School she was a cheerleader and he was quarterback of football team plus baseball and basketball		
R-028	Near	Marshall	M	signed 11-29-11	14	Brookshire			850-745-9099	Marshall.M.Near@mailinator.com		Nokomis				MA			Oil Company Sales	"Navy, Submarine in North Atlantic"	"golf, swimming, walking,flying"		2	7	1	Visited sister who lived in KG Club			
R-029	Robinson	Maria	F		15	Brookshire		785-587-3458	919-357-6198	Maria.J.Robinson@spambob.com	2019 Taylor Street	New York	NY	10013	570-587-7185	MI			Business office of school system		reading		2	2		Were visiting a friend in Englewood.  Saw the roofs of the units from I-75.  Finally found the park.  Purchased this unit.  Put on raised porch in 2010.	She worked for a customer of his.  They have been married 11 years in 2010.  A second marriage for both.		
R-030	Gomez	Robert	M		15	Brookshire		505-521-7779	941-803-8426	Robert.J.Gomez@pookmail.com	1592 Yorkshire Circle	BELVIDERE	NC	27919	816-754-6499	MI			Retired		"reading, gardening"		2	3					
R-031	Boyer	Barbara	F		16	Brookshire		573-215-2471		Barbara.T.Boyer@spambob.com	1051 Half and Half Drive	West Palm Beach	FL	33417	614-296-7988	NY			"office manager, homemaker"		"computers, travel, sports, crafts"	"KG, scouts, church"	2	2					
R-032	Mickey	Wilson	M		16	Brookshire		419-389-4822		Wilson.B.Mickey@mailinator.com	2570 Woodrow Way	Houston	TX	77006	989-907-7547	WV	NY		Eastman Kodak - production		"boating, golf, bowling"	KG	2	2		Were visiting a friend in Venice.  Came over to visit another friend in KG. Purchased lot # 16 in 1997 and added the raised porch in 1998.	Meet at a company party		
R-033	Davis	Bonita	F	signed 1-13-2012	17	Brookshire			509-461-2742	Bonita.G.Davis@spambob.com	2794 Still Pastures Drive	Charlotte	SC	28208	270-853-5659	PA		Edinboro University	"Art teacher: K - 12, homemaker"		"reading, painting, gardening"	school	2	3					
R-034	Herbert	Mark	M	signed 1-13-2012	17	Brookshire			414-936-0898	Mark.M.Herbert@spambob.com	4340 Williams Avenue	Bakersfield	CA	93301	401-537-4503	PA		Robert Morse University	Puchasing Agent for Dequesne Light Company	National Guard	sport car racing	"coach little league baseball and soccer, school"	2	3		Their daughter lives two miles away and she found KG as a place for them to retire nearby.	He had a boat and went out with a buddy.  The buddy invited his girl friend along who brought Chis along.		
R-035	Lomanto	Guadalupe	F		18	Brookshire		321-652-6180	480-377-3734		3074 Perine Street	Mclean	VA	22101															
R-036	Tobey	Amy	F		19	Brookshire		360-664-8204			885 Lynn Street	BOSTON	MA	2110															
R-037	Mcbride	Weldon	M		19	Brookshire		912-647-9422			690 Maple Court	Cape Girardeau	MO	63701															
R-038	Baird	Tisha	F	"declined Dec, 2011"	20	Brookshire																							
R-039	Wolfe	Matthew	M	"declined Dec, 2011"	20	Brookshire																							
R-040	Coen	Patricia	F		21	Brookshire		317-956-3431			2305 Cottonwood Lane	Grand Rapids	MI	49505	419-646-7981	IL	CO		"Homemaker, clerical work for auto dealers"		"travel, camping, lap swimming"	Hospital	3	3	5		Met on a blind date at a roller skating rink.  In 2011 will celebrate 58 years of marriage.		
R-041	Kelly	Glenn	M		21	Brookshire		352-745-3796			266 Barnes Street	Orlando	FL	32810	303-873-2567	IL	CO	Air Force Academy	U S Post Office	"Air Force, South Pacific"	"fishing, hunting, travel"		3	3	5	Wandered over while staying at the Royal Coachman.  Rented in 1980.  Bought lot # 21 in 1989.  Put on this 12 wide as soon as allowed.	Was a nose gunner on a B24 until most of the crew was killed in a crash.  After that was a radar operator.		
R-042	Holbrook	Brandy	F	declined	22	Brookshire		828-473-3204																					
R-043	Johnson	Bill	M	Declined	22	Brookshire		847-970-3144																					
R-044	Carr	Laura	F		23	Brookshire		727-348-8049	417-342-4129		1416 Sycamore Lake Road	Green Bay	WI	54304															
R-045	Guzman	Alisha	F		23	Brookshire		856-619-2370	252-276-6070		755 Bungalow Road	Neligh	NE	68756															
R-046	Bottoms	Megan	F	signed 1-13-2012	24	Brookshire		803-247-5050	951-639-5690	Megan.R.Bottoms@mailinator.com	1091 Science Center Drive	Saint Anthony	ID	83445	702-456-3831	MI		"Aquinas College, Grand Rapids"	Executive secretary in Reeths-Puffer School System		"Gardening, reading, camping"	"Mentor for emotionally disabled child, Food Pantry and other church activities, Boy Scouts, Sarasota County Community Pharmacy"	2 - one died at 17	3		They were looking for a campsite for a 5th wheel and heard about KG at the Arbors.  They bought in 2006.	Doris's best friend was Al's cousin.  They  first met when the friend invited Doris to Al's High School graduation.		
R-047	Ashmore	Kenneth	M		24	Brookshire		785-625-8740	617-491-4857	Kenneth.P.Ashmore@dodgit.com	3320 Courtright Street	Fargo	ND	58102	630-497-9736	MI			Ran machines in several machine shops.  Later drove a delivery truck for several companies.		"camping, handyman"	Food Pantry and other activities at church. Boy Scouts - served as Eagle Scout Project mentor for two grandsons.	2 - one died at 18	3			Al proposed to Doris in the parking lot of Meijer's Thrifty Acres.		
R-048	Hastings	Terry	M		25	Brookshire			717-252-2190	Terry.J.Hastings@trashymail.com	3731 Hillcrest Drive	TACOMA	WA	98491		PA		"Thiel college-Greenville, PA"	Car dealer	"Army, Germany"	"boating, biking"					Rented at Royal Coachman for 15 years.  Price went up.  Purchased lot # 24 in 2000			
R-049	Allen	Georgia	F	No	26	Lancer		605-364-0120		Georgia.V.Allen@spambob.com		Nokomis				MA	TX	Nursing school in MA	"Rehab nurse, visiting nurse"		"camping, gardening, horses, animal, kayaking, biking, reading"		4	7					
R-050	Littleton	Jerry	M	No	26	Lancer		203-425-7207		Jerry.L.Littleton@pookmail.com		Nokomis				OH	"IN, MA"	Ohio State University	Computer Information Specialist for Whirlpool Corp	"Army, Supply Sergeant"	"Tennis, kayaking, biking, walking, fishing, boating"	"Junior Achievement Mentor, Boy Scouts, 4-H"	2	4		"His ex in-laws owned lot # 176, The Rokley's.  Purchased lot #26 in 1999 and has remodeled it."	Ran a charter boat service on Lake Michigan for several years.		
R-051	Head	Barbara	F	signed 11-5-11	27	Lancer		830-534-3390	717-658-0595	Barbara.J.Head@dodgit.com	2722 Clarksburg Park Road	Phoenix	AZ	85034	773-745-8893	NY		State University of New York at Brockport	"Taught elementary grades, homemaker, director of day care center,"		"knitting, reading, bowling, fishing, camping, cards, dominoes, bingo, watch sports"		2	2			She did payroll for the bands Jack put together		
R-052	Morning	Sheldon	M	signed 11-5-11	27	Lancer		504-941-9110	318-349-5811	Sheldon.N.Morning@dodgit.com	2248 Granville Lane	Jersey City	NJ	7307	601-645-4845	NY		"State University of New York at Fredonia, University of Buffalo, Niagara University"	Taught music in The Niagara-Wheatfield school system and at Niagara Community College.  He was a professional musician.		"fishing, hunting, travel, cards, camping"		2	2		"A friend retired to Sarasota.  They came to visit, found KG and liked the park.  They rented lot # 87 in 2005 and # 153 for the next three years.   They bought lot # 27 in 2009."	"He was responsible for getting back up bands put together when a musical star preformed in thewestern New York area,"		
R-053	Lemieux	Benjamin	M	signed 11-5-11	28	Lancer		281-203-1024			4058 Ward Road	El Paso	TX	79901	931-294-9585	PA			Worked in a steel plant melting steel.		"boating, camping, travel"	"Flea Market at KG,"	3	5	4	Ralph got upset with Royal Coachman.  He thought about coming to KG and was told at RC that he would not be accepted at KG.  He rRented a lot anyway.  He was here less than an hour and was invited for lunch.  They purchased #206 in 1985 and latter moved t	Ralph and a buddy picked Jean and a friend up when he was crusing.  When she made fun of his 1928 LaSalle he asked her out.  Jean died in 1997.		
R-054	Overton	Anna	F		29	Lancer			212-894-2126	Anna.M.Overton@dodgit.com	3858 Maloy Court	Topeka	KS	66604															
R-055	Chestnut	William	M		29	Lancer			732-955-0277	William.S.Chestnut@trashymail.com	381 Bastin Drive	Allentown	PA	18101															
R-056	Joy	Terry	F		30	Crown Point		213-489-4835		Terry.M.Joy@dodgit.com	3618 Crestview Manor	Indianapolis	IN	46241	504-483-8272	ME			Homemaker		"crafts, bowling, sewing"	"Eastern Star, school, home economics activities with Farm Bureau"	2	2	3	Were staying at Royal coachman and visited a friend who owned in KG.  Bought lot # 30 in 1996	Her husband Albert died in 2007 after 6 years of marriage		
R-057	Morse	Amanda	F		31	Crown Point		203-497-4473	202-508-2423	Amanda.M.Morse@mailinator.com	4938 Charter Street	Lenexa	KS	66214		NY	IL TX	"State University of New York at Utica, St Peters School of Nursing"	Registered nurse in Public Health		"Gardeing, Pickelball, biking, canoeing"	"church cantor,  County Health Department, Medical Rescue Corp - Flu shoot clinics"	2	2					
R-058	Kozak	Bradley	M		31	Crown Point		757-774-4490	401-766-5584		2011 Hog Camp Road	Chicago	IL	60605															
R-059	Michael	Jay	M		31	Crown Point		512-344-2887	484-329-2695	Jay.J.Michael@dodgit.com	3506 Chandler Hollow Road	MIDFIELD TERM	PA	15231		NY	IlLTX	Syracuse University	Civil Engineer in Water Resources for Department of Environmental Conservation	Air Force	"Pickelball, fix and repair things, bicking, canoeing"	"County Health Department, Medical Rescue Corp - Flu shoot clinics"	2	2		Were staying at the Royal Coachman and went for a bike ride.  First rented lot #31 in 2007 and most years since.			
R-060	Sterner	Virginia	F		32	Crown Point			401-274-9399	Virginia.E.Sterner@pookmail.com	2954 West Drive	Chicago	IL	60605															
R-061	Moss	Ronald	M		32	Crown Point			612-750-2580	Ronald.L.Moss@trashymail.com	2064 Alexander Avenue	San Jose	CA	95131															
R-062	Bright	Brianna	F		33	Crown Point					3575 Windy Ridge Road	POE	IN	46816	912-978-6799	OH	MI	Akron State Hospital School of Nursing	"Nurse in ER, ran ceramic shop"		"ceramics, sewing, gardening"	hospital	3	5					
R-063	Kirby	Joseph	M		33	Crown Point					2220 Mahlon Street	Bloomfield Township	MI	48302	617-946-1369	OH	MI	University of Akron	"Goodyear Tire, ran a ceramic shop"	Air Force	"ceramics, fishing"		3	5		Had a cabin on the same lake as Prebanih.  Visited them in KG. Rented in 2006 and purchased lot # 33.	went to grade school together		
R-064	Moran	James	M		34	Crown Point		801-747-9503	765-362-8848		3353 Tecumsah Lane	Natchitoches	LA	71457															
R-065	Lee	Darin	M		34	Crown Point	rent		623-932-8248		2878 Valley Lane	Austin	TX	78701		NY	CN		Homemaker			church	3	7					
R-066	Williams	Amos	M		34	Crown Point	rent		678-414-3921		4105 Victoria Court	SOUTH BERWICK	ME	3908		CN			Owned commercial roofing and sheet metal company	"Navy, Medditeranian"			3	7		Visited friends from home who lived in KG.  Have rented lot # 34 since 2006	He joined the Navy and on leave stopped into a soda shop near the High School.  She was there.  They did not start dating until he finished his navy tour.  They have been married 53 years in 2010.		
R-067	Sandiford	Eric	M		35	Crown Point		937-323-7049	847-378-4745		3195 Murphy Court	Hemet	CA	92543															
R-068	Kelly	Frederick	M	signed 11-4-11	35	Crown Point	R		602-357-8801		930 Hanifan Lane	Monticello	GA	31064		MI		Ford Trade and Apprenticeship School	Machinist		Travel	Many at KG	3	3		Bob's sister lived in Nokomis and came to our flea market.  She suggested that Bob check it out.  He has rented several sites since 1996	"Bob is one of 10 children.  His first wife was from Finland and when she decided to return he stayed in the U S.  His second wife died.  He has lived in an RV since 1998,  visiting all 50 states- 49 with RV. He cycled Europe for 4 months when younger."		
R-069	Harrison	Denise	F	signed 10-30-11	36	Crown Point			410-650-6270	Denise.D.Harrison@spambob.com		Nokomis				OH	MI	Ohio State University	"Dental Hygienist, Tour Guide, Massage Therapist"		"Theater, Camping"	"Siesta Beach Ambassador, Works Downtown Kiosk for Venice, Oscar Shear, Florida Studio Theater, Salvation Army Bell ringer"	1	3		"The wife of a dentist friend was in a beauty shop in the area.  She overheared the conversation of another customer, who was a realtor, suggesting KG.  Dee bought lot #36 on a weekend trip in 2006 and put this unit on in 2011."	Likes to be active.  She likes hats and the color orange.  This must be genetic because none of her sisters like either.		
R-070	Spencer	Rebecca	F		37	Crown Point			315-375-1799		3875 Coulter Lane	Warsaw	VA	22572															
R-071	Kirkland	Robert	M		37	Crown Point			330-237-6523		3895 Trainer Avenue	NORTH HENDERSON	IL	61466															
R-072	Lund	Judith	F	signed 1-13-2012	38	Crown Point		808-685-8676			4039 Walnut Hill Drive	Cincinnati	OH	45236	513-887-0406	OH	MI	"St. Mary's of the Spring in Columbus, Ohio"	"Homemaker, secretary with Kelly Services and GM"		"Genealogy, arts and crafts, history"	"church, civil war reanactor, regent for Daughters of the American Revolution"	7	11	2	Winter residents since 1998			
R-073	Ferguson	Paul	M	signed 1-12-2012	38	Crown Point		318-316-0913			1091 Maloy Court	Salina	KS	67401	707-689-3331	MI	TX	"Kent State,  Wayne State"	Engineer at Chevrolet	"Army Air Corp, stateside"	"restore antique clocks, genealogy, cards, hunting, history, bird watching"	"church, treasurer for Order of Founders and Patriots of America"	7	11	2	An associate at GM owned in the club.  They visited him.  Rented lot # 209 KG in 1998.  And purchased lot #38 the next spring.	"Jerry was in the atrium on the GM headquarters in Detroit.  He saw two girls, knew one and got an introduction to the other - Peg"		
R-074	Meyer	Evelyn	F		39	Crown Point		850-973-5589	714-766-3786		4810 Hood Avenue	San Diego	CA	92126	703-873-9231	NY			Homemaker			"church, school"	7	6	1		They had mutual friends and were introduced at a Friday night dance.		
R-075	Gates	Michael	M		39	Crown Point		301-308-7968	828-413-1441		3053 Old Dear Lane	Poughkeepsie	NY	12601	847-586-9131	NY			"Xerox, owned 2 used car lots"	"Navy, North Atlantic, Caribbean"	"boating, fishing, hunting"		7	6	1	Were staying at the Royal Coachman and visited their friends the Federations (lot # 182).  They rented in 2002 and purchased lot # 39 in 2004			
R-076	Polster	Patty	F		40	Crown Point			540-667-1819	Patty.D.Polster@trashymail.com	4520 Lightning Point Drive	Memphis	ON	L9B2P4	508-939-3322		ON		homemaker and operated Fish and Chips Place		"Knitting, crocheing"	church	6	16			care for elderly parents		
R-077	Madden	Antonio	M		40	Crown Point			406-722-0297	Antonio.D.Madden@spambob.com	464 Straford Park	WALLINS CREEK	ON	L9B2P4	530-538-4133		ON AL		operated Fish and Chips resturant		but and sell classic cars	church	6	16		Stayed at Royal Coachman and visited cousin in the Club.  For years they traveled with George and Marta Bartels (# lot 57)and Bert and Jean  (lot # 74).  When Geroge and Marta purchased in the park they did too.	"Born in the Netherlands, immigrated to Canada.  They met at church"		
R-078	Smith	Mari	F	declined	41	Crown Point		301-585-4642																					
R-079	Clark	Henry	M	declined	41	Crown Point		989-374-0589																					
R-080	Crowell	Katie	F	signed 10-26-11	42	Crown Point		386-481-2290		Katie.P.Crowell@trashymail.com	4295 Horizon Circle	GIG HARBOR	WA	98335	901-312-0535	IN	MI		Inspector for General Motors		"Painting-oil and acrylic, organ, swimming, sewing, dancing, cooking, making candy"	Various KG activities				She worked with a lady who had a summer home in the area and came to Royal Coachman after retirement. Dorothy didn't like RC and so rented lot 95 in KG.  They purchased lot #42 in July over phone-sight unseen.  They tied down their Holiday in 1976.  They 	Dotothy met her husband at a dance.  They were married in 1941 before he went into the  service.  He was stationed in India with the air force.  They were married 56 years before his death.		
R-081	Gomez	Joann	F		43	Bainbridge	renter	217-214-4767			4453 Golden Street	Miami	FL	33128	918-208-8106														
R-082	Singleton	Martha	F	declined	43	Crown Point																							
R-083	Smith	Richard	M		43	Bainbridge	renter	520-777-5744			3092 Franklin Street	Dothan	AL	36303	708-714-2211														
R-084	Holman	Rufus	M	declined	43	Crown Point																							
R-085	Jones	Bernice	F	signed 10-28-11	44	Crown Point			732-405-6451	Bernice.T.Jones@trashymail.com	3396 Penn Street	FREMONT	MO	63941	985-625-4844	MI		RN	Nurse in ER and ICU		"scrap booking, digital albums, cards, crafts, aquacise."	KG activities	3	6			Macomb County was the 3rd in the nation (after Chicago and LA) to set up a paramedic program.  As a fireman Butch was in the first paramedic class and Madalyn was one of the teachers.		
R-086	Conyers	Darrel	M	signed 10-28-11	44	Crown Point			803-853-1506		4551 Maxwell Street	NEW HAVEN	CT	6511	308-930-2012	MI		Macomb County Community College	Fire Chief	"Air Force, Texas Philippines, Viet Nam"	"fishing, Hunting, golf"		3	6		A friend suggested they look into KG after overhearing some customers talking about the park at a restaurant.  Came in 2009 with a motor home on lot #287. Purchased #44 in 2010.			
R-087	Brown	Greta	F		45	Crown Point		815-737-4796	573-588-6642	Greta.C.Brown@pookmail.com	2594 Reeves Street	Kaukauna	WI	54130	415-888-9358	Mi			homemaker		sewing. Crafts	"Taught Sunday school, Vets hospital"	3	12	4	Visited her cousin Gwen McDonald (lot # 97).  Bought lot # 45 in 1995 and added lower lanie  in 2005.	Her husband Joe died in 2010 after 65 years of marriage.  They grew up on nearby farms.  He was a Tool and Die maker.  Since his death she is able to live here because she has been joined by her sister Ellen.  They lived 200 miles apart but are enjoying g		
R-088	Gonzalez	Sylvia	F		46	Crown Point		509-936-7451		Sylvia.W.Gonzalez@mailinator.com	4279 Palmer Road	Worthington	OH	43085	614-996-9541	IL	WA CA		"Homemaker, a variety of part-time jobs"		travel	"church, group that helped unwed mothers"	5	15			All their children and grandshildren live within 15 miles and they all take a family vacation each year.		
R-089	Moore	Steve	M		46	Crown Point		518-670-1715		Steve.J.Moore@spambob.com	1653 Hanifan Lane	Chamblee	GA	30341	215-244-9451	Il	WA CA	University of Illinos	Design Engineer for Honewell	"Navy, Japan, Korea"	"travel, fishing, junting, horsheshoes"	"Volunteer Fire Depart, coached bastketball, township treasurer, cemetary board,"	5	15		"His brother lived in Venice and knew Barb winters.  She suggested he rent here in 1996.  In 1997 they purchased lot # 46, in 1998 they added this unit and in 1999 they added the porch."	They met when they attended a consolidated High School.		
R-090	Knight	Wan	F	signed 1-13-2012	47	Crown Point	R		808-483-4119	Wan.A.Knight@pookmail.com	2388 Cameron Road	Getzville	NY	14068	561-526-0853	MI	DC	Gale Institute	"Muskegon Developent Company, Oil and Gas, Accounting"		"golf, bowling"	school	4	10					
R-091	Robinette	Karen	F		47	Crown Point			319-450-9886		1499 Carriage Lane	Bloomsburg	PA	17815															
R-092	Sanchez	Paul	M	signed 1-13-2012	47	Crown Point	R		806-776-4472	Paul.A.Sanchez@spambob.com	2104 Kelly Street	Kannapolis	NC	28081	631-561-3505	MI			UPS	"Army, Germany"	"golf, horse shoes, farming"	"Right to Life, 4H"	4	10		They were staying at the Royal Coachman and came to the KG flea market. The rented in the park in 2007 and returned again in 2010 to rent lot # 47			
R-093	Olvera	Laura	F	signed 10-28-11	48	Crown Point		636-251-9215				Nokomis				CN			"Worked in a greenhouse, worked as an aid in a facility for individuals with physical or mental disabilities"		"Ex tennis player, gardening, reading, walking, biking"	"KG, church"				"She had spent several winters along the Atlantic Coast of Florida.  Then visited the Gulf Coast and liked it better.  Went to the local Chamber of Commerce, got a brochure and visited all of the parks on the list.  Liked KG because of its small units and "	Enjoys being with her 5 sisters and 2 brothers and their families.		
R-094	Townsend	Cheri	F		49	Crown Point			936-552-6777	Cheri.D.Townsend@pookmail.com	4284 Henery Street	Wichita	KS	67202		WI	ID	Boise State University	"Secretary, sold tickets for an airline"		"music, crafts"	"church, elder care"	6	13	2				
R-095	Parris	Joseph	M		49	Crown Point			646-320-3605	Joseph.B.Parris@mailinator.com	465 Confederate Drive	Syracuse	NY	13202		WI	IL		"carpenter, contractor, owned and operated a Supper Club"	"Army, Korea"	"gardening, walking"	"church, community"	6	13	2	Were staying at Stay and Play.  When it closed they came here.			
R-096	Thames	Amy	F	signed 1-20-2012	50	Crown Point		213-793-7227		Amy.M.Thames@trashymail.com	3374 Park Boulevard	BAXTER	IA	50028	212-823-0530	OH		"University of Akron, Ohio Wesleyan Univ."	Secondary Education Teacher in Special Education. Taught Early Childhood Development at U of Akron		"Painting, showed horses, tutoring in summers"	"Boy and Girl Scouts, Volunteer Tutor, Various school activities, Repair work on Indian Reservation with their church, Sunday school teacher, Youth Director, Religion director, KG court, Bazaar Vendors"	5	14	9				
R-097	Sweet	Curtis	M	signed 11-1-202-12	50	Crown Point		803-648-5119		Curtis.L.Sweet@pookmail.com	298 Saint Marys Avenue	Watertown	NY	13601	917-660-9189	OH			Telephone Lineman.  Forman of Line Repair	"Army, Ended up with Japan Occupation Forces"	"Golf, Remodeling"	"Red Cross Hurricane Disaster Service, Habitat for Humanity,  Building and repair work on Indian Reservation with their church"	5	14	9	They were staying at Royal Coachman and visited a friend in KG.  Purchased #50 in1996 and replaced original unit.	Adam was with a friend at a hamburger joint.  The friend knew Sue who was there.		
R-098	Woods	Vicki	F		51	Crown Point		417-372-9487			3127 Olive Street	Toledo	OH	43602	615-668-3763	MI			"Administrative Assistant, homemaker"		"sewing, boating, camping"	Thrift store	3	9	4				
